,Neighbourhood,Hood_ID,Assault Rate,Auto Theft Rate,Break&Enter Rate,Homicide Rate,Robberey Rate,Theft Over Rate,Total Average Rate,Median_Income,Average_Income,Number of Starbucks Stores,Number of Red Lights,"Population, 2016",Home Prices,Speeding,Income Group
0,South Parkdale,85,1148.8,91.5,407.3,4.6,151.0,100.7,317.32,35601.0,46896.0,1,2,21849.0,500054.0,26,25-50K
1,South Riverdale,70,936.3,143.5,477.1,0.0,125.6,75.3,292.97,65076.0,83491.0,1,2,27876.0,537087.0,20,75-100K
2,St.Andrew-Windfields,40,325.6,196.5,466.0,0.0,67.4,33.7,181.53,94271.0,189629.0,1,1,17812.0,1363202.0,3,175-200K
3,Taylor-Massey,61,777.9,76.5,401.7,6.4,82.9,19.1,227.42,40915.0,51242.0,0,0,15683.0,254151.0,4,50-75K
4,Humber Summit,21,950.4,1087.3,459.1,24.2,225.5,177.2,487.28,57786.0,68431.0,0,3,12416.0,354381.0,23,50-75K
5,Humbermede,22,1035.7,437.4,392.4,0.0,173.7,51.5,348.45,51959.0,61290.0,0,0,15545.0,314721.0,8,50-75K
6,Centennial Scarborough,133,359.2,142.2,217.0,0.0,7.5,22.5,124.73,102864.0,119301.0,0,1,13362.0,491024.0,10,100-125K
7,Church-Yonge Corridor,75,2804.7,172.3,966.8,3.2,456.3,134.0,756.22,47195.0,65545.0,8,1,31340.0,410703.0,4,50-75K
8,Clairlea-Birchmount,120,1045.1,244.6,240.9,3.7,137.1,51.9,287.22,59224.0,72423.0,0,3,26984.0,387912.0,17,50-75K
9,Cliffcrest,123,834.6,119.2,288.7,0.0,156.9,18.8,236.37,68647.0,85355.0,0,1,15935.0,542218.0,5,75-100K
10,Flemingdon Park,44,693.0,36.5,72.9,0.0,59.3,13.7,145.9,46554.0,56784.0,0,0,21933.0,204104.0,16,50-75K
11,Corso Italia-Davenport,92,672.2,106.1,275.9,0.0,198.1,42.5,215.8,63149.0,75651.0,0,0,14133.0,502819.0,4,75-100K
12,Ionview,125,579.1,58.6,139.3,0.0,80.6,14.7,145.38,46955.0,55996.0,0,0,13641.0,330109.0,0,50-75K
13,Junction Area,90,591.7,215.8,292.4,0.0,97.5,55.7,208.85,60789.0,75849.0,1,1,14366.0,532997.0,27,75-100K
14,Broadview North,57,669.6,26.1,217.4,0.0,87.0,8.7,168.13,45969.0,63673.0,0,0,11499.0,518555.0,21,50-75K
15,Princess-Rosethorn,10,244.3,262.4,307.7,0.0,135.7,27.1,162.87,114844.0,174858.0,1,1,11051.0,971668.0,2,150-175K
16,North Riverdale,68,663.0,176.2,360.9,0.0,176.2,42.0,236.38,80260.0,116136.0,0,0,11916.0,818592.0,22,100-125K
17,Etobicoke West Mall,13,430.5,84.4,67.5,16.9,84.4,50.6,122.38,56010.0,68531.0,0,0,11848.0,298426.0,1,50-75K
18,Forest Hill North,102,304.5,203.0,296.7,0.0,148.4,15.6,161.37,61596.0,132000.0,1,0,12806.0,957688.0,5,125-150K
19,Glenfield-Jane Heights,25,1128.2,282.1,124.6,6.6,164.0,39.4,290.82,46475.0,57069.0,0,1,30491.0,304262.0,37,50-75K
20,Greenwood-Coxwell,65,894.8,173.4,332.9,0.0,69.4,34.7,250.87,57853.0,78089.0,1,1,14417.0,490920.0,3,75-100K
21,Guildwood,140,282.3,30.3,100.8,10.1,70.6,10.1,84.03,76055.0,96885.0,0,0,9917.0,444309.0,7,75-100K
22,Trinity-Bellwoods,81,767.1,151.0,664.4,0.0,145.0,24.2,291.95,56368.0,81093.0,1,0,16556.0,723909.0,13,75-100K
23,Victoria Village,43,753.9,102.8,342.7,5.7,80.0,28.6,218.95,47529.0,60141.0,0,0,17510.0,365107.0,56,50-75K
24,Waterfront Communities-The Island,77,1280.5,92.5,509.8,1.5,144.1,110.8,356.53,69107.0,89892.0,19,6,65913.0,416759.0,53,75-100K
25,West Hill,136,1573.5,164.3,284.8,7.3,259.2,14.6,383.95,49713.0,63461.0,1,1,27392.0,308229.0,5,50-75K
26,West Humber-Clairville,1,795.5,1446.9,396.3,6.0,210.1,189.1,507.32,66241.0,76228.0,1,6,33312.0,317508.0,99,75-100K
27,Westminster-Branson,35,441.5,129.4,144.6,0.0,53.3,7.6,129.4,45888.0,63719.0,0,1,26274.0,372380.0,13,50-75K
28,Kennedy Park,124,1308.2,140.2,239.4,5.8,157.7,35.0,314.38,44226.0,54737.0,0,0,17123.0,293600.0,11,50-75K
29,Kingsview Village-The Westway,6,413.6,181.8,113.6,0.0,68.2,9.1,131.05,55454.0,71539.0,1,1,22000.0,292861.0,3,50-75K
30,Bayview Woods-Steeles,49,342.1,136.8,152.0,7.6,38.0,15.2,115.28,70294.0,99835.0,0,1,13154.0,784397.0,6,75-100K
31,Clanton Park,33,540.3,255.0,267.1,0.0,103.2,24.3,198.32,61094.0,92945.0,1,2,16472.0,605585.0,14,75-100K
32,Keelesdale-Eglinton West,110,551.6,298.4,162.8,9.0,99.5,81.4,200.45,48667.0,59972.0,0,1,11058.0,373029.0,23,50-75K
33,O'Connor-Parkview,54,781.8,155.3,289.2,0.0,80.3,37.5,224.02,54491.0,72779.0,0,1,18675.0,538203.0,5,50-75K
34,Old East York,58,498.2,43.3,140.8,0.0,86.6,32.5,133.57,72230.0,91601.0,1,0,9233.0,581398.0,35,75-100K
35,Casa Loma,96,455.9,54.7,310.0,0.0,72.9,18.2,151.95,78152.0,175756.0,1,2,10968.0,1083381.0,3,175-200K
36,Kensington-Chinatown,78,2078.6,217.3,1549.2,0.0,256.3,206.2,717.93,40793.0,57175.0,2,1,17945.0,477989.0,18,50-75K
37,Kingsway South,15,302.0,302.0,269.7,0.0,129.4,43.1,174.37,131047.0,226607.0,1,0,9271.0,941223.0,0,225-250K
38,Runnymede-Bloor West Village,89,436.9,288.0,248.3,0.0,168.8,19.9,193.65,91230.0,122523.0,1,0,10070.0,666204.0,2,100-125K
39,Forest Hill South,101,242.3,186.4,326.1,0.0,149.1,37.3,156.87,78269.0,226031.0,2,1,10732.0,1585984.0,12,225-250K
40,Henry Farm,53,540.6,146.3,235.3,0.0,44.5,89.0,175.95,52675.0,67979.0,0,0,15723.0,372110.0,9,50-75K
41,Annex,95,943.5,98.3,694.5,3.3,101.6,137.6,329.8,57825.0,114333.0,7,0,30526.0,993491.0,15,100-125K
42,Caledonia-Fairbank,109,813.7,110.5,90.4,0.0,180.8,20.1,202.58,56115.0,67582.0,0,0,9955.0,400532.0,0,50-75K
43,Humber Heights-Westmount,8,319.7,182.7,173.5,0.0,18.3,45.7,123.32,60410.0,81291.0,0,1,10948.0,491396.0,19,75-100K
44,Roncesvalles,86,647.8,86.8,614.4,6.7,126.9,66.8,258.23,52154.0,78614.0,1,2,14974.0,581425.0,0,75-100K
45,University,79,1630.1,118.3,1196.3,13.1,157.7,78.9,532.4,51222.0,78493.0,0,0,7607.0,773920.0,9,75-100K
46,Hillcrest Village,48,407.5,159.4,212.6,5.9,94.5,35.4,152.55,64522.0,84085.0,0,0,16934.0,484743.0,16,75-100K
47,Mount Dennis,115,654.7,161.8,103.0,22.1,95.6,36.8,179.0,46811.0,61397.0,0,1,13593.0,273418.0,5,50-75K
48,Dorset Park,126,663.9,240.0,228.0,8.0,140.0,32.0,218.65,51724.0,62078.0,3,3,25003.0,279189.0,25,50-75K
49,Edenbridge-Humber Valley,9,212.4,148.1,347.6,0.0,32.2,51.5,131.97,71646.0,126895.0,1,0,15535.0,873268.0,6,125-150K
50,Dovercourt-Wallace Emerson-Junction,93,737.2,106.5,505.1,8.2,128.3,19.1,250.73,56997.0,70393.0,1,2,36625.0,512789.0,30,50-75K
51,Newtonbrook West,36,717.6,243.4,226.6,0.0,54.6,50.4,215.43,50150.0,70153.0,1,2,23831.0,557468.0,9,50-75K
52,Niagara,82,859.5,105.8,474.7,0.0,77.0,64.1,263.52,70862.0,91004.0,5,1,31180.0,398281.0,31,75-100K
53,Beechborough-Greenbrook,112,1018.7,197.7,167.2,0.0,182.5,30.4,266.08,41175.0,55939.0,0,0,6577.0,440179.0,8,50-75K
54,High Park North,88,392.6,108.3,306.8,0.0,58.7,22.6,148.17,60879.0,83257.0,1,0,22162.0,609689.0,0,75-100K
55,High Park-Swansea,87,480.7,125.4,238.2,4.2,125.4,54.3,171.37,72286.0,111391.0,0,1,23925.0,622206.0,10,100-125K
56,Highland Creek,134,464.2,216.1,264.1,8.0,72.0,8.0,172.07,98087.0,111789.0,0,1,12494.0,529278.0,0,100-125K
57,North St.James Town,74,1251.7,112.8,376.0,0.0,177.3,75.2,332.17,,,0,0,18615.0,489366.0,7,
58,Oakridge,121,1112.3,72.2,361.1,0.0,231.1,43.3,303.33,33980.0,45727.0,0,0,13845.0,347446.0,0,25-50K
59,Rosedale-Moore Park,98,559.2,129.0,473.2,0.0,90.8,66.9,219.85,88855.0,233818.0,4,0,20923.0,1265389.0,29,225-250K
60,Oakwood Village,107,716.6,179.2,231.0,9.4,198.0,9.4,223.93,49838.0,66022.0,0,0,21210.0,482040.0,3,50-75K
61,Wexford/Maryvale,119,831.0,315.2,304.5,3.6,96.7,53.7,267.45,58939.0,70251.0,1,1,27917.0,422689.0,41,50-75K
62,Eglinton East,138,851.8,122.9,254.7,8.8,118.5,35.1,231.97,46495.0,58035.0,0,2,22776.0,274020.0,24,50-75K
63,Elms-Old Rexdale,5,708.5,296.1,105.8,0.0,148.1,42.3,216.8,50846.0,63201.0,0,0,9456.0,233832.0,5,50-75K
64,Agincourt North,129,271.4,144.3,192.4,0.0,120.2,6.9,122.53,60162.0,73512.0,0,2,,,21,50-75K
65,Agincourt South-Malvern West,128,517.7,261.0,420.9,0.0,122.1,63.1,230.8,59013.0,73156.0,1,1,23757.0,332710.0,23,50-75K
66,Englemount-Lawrence,32,518.5,102.8,147.5,0.0,71.5,31.3,145.27,49762.0,82845.0,1,1,22372.0,577889.0,0,75-100K
67,Eringate-Centennial-West Deane,11,236.7,220.6,107.6,5.4,64.6,26.9,110.3,80894.0,94644.0,1,0,18588.0,423034.0,9,75-100K
68,L'Amoreaux,117,443.3,81.8,195.5,0.0,136.4,4.5,143.58,53644.0,67279.0,0,1,43993.0,355438.0,20,50-75K
69,Banbury-Don Mills,42,267.2,151.7,292.5,0.0,36.1,50.6,133.02,70039.0,115944.0,3,3,27695.0,613647.0,30,100-125K
70,Bathurst Manor,34,315.0,151.2,138.6,0.0,75.6,31.5,118.65,56563.0,76823.0,1,2,15873.0,568877.0,18,75-100K
71,Alderwood,20,298.7,116.1,215.7,0.0,41.5,58.1,121.68,71585.0,85206.0,0,0,12054.0,504233.0,14,75-100K
72,Regent Park,72,1444.0,194.4,601.7,9.3,129.6,46.3,404.22,32172.0,49191.0,0,1,10803.0,484444.0,3,25-50K
73,Bendale,127,887.9,183.6,173.6,3.3,133.5,30.0,235.32,55786.0,66104.0,1,1,29960.0,329355.0,27,50-75K
74,Birchcliffe-Cliffside,122,901.7,112.2,255.7,0.0,121.1,31.4,237.02,64701.0,90967.0,1,1,22291.0,522905.0,20,75-100K
75,Weston-Pellam Park,91,1018.2,135.2,216.3,9.0,81.1,27.0,247.8,,,0,0,11098.0,382119.0,10,
76,Downsview-Roding-CFB,26,1261.0,459.3,328.1,8.6,182.6,39.9,379.92,47173.0,60018.0,0,4,35052.0,400486.0,20,50-75K
77,Lambton Baby Point,114,338.1,137.8,200.4,0.0,75.1,12.5,127.32,69525.0,131273.0,0,0,7985.0,806452.0,0,125-150K
78,Bay Street Corridor,76,3550.8,193.8,798.5,11.6,476.8,283.0,885.75,50363.0,84580.0,26,5,25797.0,457787.0,22,75-100K
79,Black Creek,24,943.1,326.6,170.2,0.0,193.2,41.4,279.08,41878.0,51384.0,0,1,21737.0,235143.0,15,50-75K
80,Willowdale East,51,333.1,113.0,174.5,0.0,79.3,47.6,124.58,64362.0,84813.0,2,1,50434.0,540911.0,22,75-100K
81,Willowdale West,37,661.3,183.0,124.0,0.0,165.3,59.0,198.77,60537.0,82203.0,1,0,16936.0,541247.0,0,75-100K
82,Rouge,131,391.4,187.1,126.9,0.0,68.8,28.0,133.7,81553.0,96452.0,1,2,46496.0,426850.0,68,75-100K
83,Mount Olive-Silverstone-Jamestown,2,813.3,267.0,109.2,9.1,166.9,27.3,232.13,49934.0,58605.0,0,0,32954.0,251119.0,38,50-75K
84,Cabbagetown-South St.James Town,71,1079.8,188.5,925.5,0.0,145.7,34.3,395.63,,,0,0,11669.0,537025.0,20,
85,Mount Pleasant East,99,280.2,95.4,292.1,0.0,77.5,17.9,127.18,84873.0,132862.0,0,0,16775.0,815247.0,7,125-150K
86,Mount Pleasant West,104,472.0,37.1,401.2,6.7,50.6,23.6,165.2,55802.0,75407.0,6,0,29658.0,520032.0,13,75-100K
87,Blake-Jones,69,905.9,90.6,232.9,0.0,129.4,51.8,235.1,55411.0,76451.0,0,0,7727.0,571246.0,0,75-100K
88,Rexdale-Kipling,4,588.8,474.9,142.5,19.0,218.4,28.5,245.35,56545.0,66781.0,0,0,10529.0,392271.0,7,50-75K
89,East End-Danforth,62,869.9,74.8,285.3,0.0,126.3,42.1,233.07,63526.0,85940.0,2,0,21381.0,535867.0,13,75-100K
90,New Toronto,18,968.3,191.9,209.4,0.0,148.3,8.7,254.43,44141.0,61562.0,0,0,11463.0,460811.0,7,50-75K
91,Palmerston-Little Italy,80,723.3,86.8,361.6,0.0,108.5,94.0,229.03,59378.0,85549.0,0,1,13826.0,781568.0,5,75-100K
92,Parkwoods-Donalda,45,454.0,91.9,195.4,2.9,103.4,14.4,143.67,59027.0,79219.0,0,0,34805.0,553698.0,5,75-100K
93,Pelmo Park-Humberlea,23,736.8,671.5,205.2,9.3,74.6,65.3,293.78,67412.0,79193.0,0,0,10722.0,412618.0,16,75-100K
94,Playter Estates-Danforth,67,1012.3,115.3,448.5,0.0,128.1,76.9,296.85,62185.0,104631.0,2,0,7804.0,842668.0,5,100-125K
95,Willowridge-Martingrove-Richview,7,455.9,189.6,176.0,4.5,144.4,13.5,163.98,63701.0,81035.0,0,2,22156.0,511637.0,22,75-100K
96,Woburn,137,798.4,112.2,187.0,0.0,125.3,15.0,206.32,52018.0,63651.0,0,6,53485.0,316584.0,52,50-75K
97,Woodbine-Lumsden,60,381.4,89.0,127.1,12.7,38.1,50.9,116.53,65259.0,75872.0,0,0,7865.0,440700.0,10,75-100K
98,Bayview Village,52,308.5,172.9,172.9,0.0,65.4,60.8,130.08,67186.0,96809.0,3,1,21396.0,533089.0,8,75-100K
99,Bedford Park-Nortown,39,266.8,284.0,383.0,0.0,64.6,77.5,179.32,90934.0,176139.0,2,1,23236.0,1191040.0,0,175-200K
100,Rockcliffe-Smythe,111,678.8,161.8,193.3,4.5,49.4,40.5,188.05,49695.0,61303.0,1,1,22246.0,353967.0,20,50-75K
101,Bridle Path-Sunnybrook-York Mills,41,474.9,118.7,550.4,0.0,140.3,32.4,219.45,208674.0,481497.0,0,0,9266.0,1849084.0,5,250K+
102,Don Valley Village,47,547.1,77.6,110.9,0.0,125.7,51.8,152.18,56780.0,72457.0,1,2,27051.0,478489.0,11,50-75K
103,Weston,113,1089.4,272.3,322.4,11.1,144.5,22.2,310.32,45119.0,57538.0,0,1,17992.0,280187.0,13,50-75K
104,Lawrence Park South,103,197.6,184.5,382.1,0.0,85.6,52.7,150.42,127853.0,250437.0,2,1,15179.0,1215390.0,10,250K+
105,Brookhaven-Amesbury,30,563.2,191.5,281.6,0.0,95.7,61.9,198.98,47040.0,59896.0,0,2,17757.0,352428.0,7,50-75K
106,Long Branch,19,585.1,119.0,287.6,0.0,297.5,19.8,218.17,52771.0,73058.0,1,1,10084.0,459088.0,6,50-75K
107,Malvern,132,760.4,162.1,100.5,2.3,105.0,22.8,192.18,57528.0,68011.0,0,5,43794.0,256488.0,39,50-75K
108,Dufferin Grove,83,789.1,50.9,373.4,0.0,271.5,67.9,258.8,47843.0,64089.0,1,0,11785.0,502736.0,19,50-75K
109,Maple Leaf,29,306.6,257.1,148.4,0.0,49.5,39.6,133.53,57721.0,73197.0,0,0,10111.0,540741.0,0,50-75K
110,Markland Wood,12,161.1,85.3,246.4,0.0,113.7,28.4,105.82,74376.0,102729.0,2,1,10554.0,505350.0,0,100-125K
111,Steeles,116,182.8,125.9,264.0,0.0,36.6,20.3,104.93,60946.0,75305.0,0,6,24623.0,440688.0,5,75-100K
112,Lawrence Park North,105,260.1,123.2,150.6,0.0,34.2,27.4,99.25,125667.0,188808.0,1,0,14607.0,980831.0,0,175-200K
113,Yonge-Eglinton,100,871.6,110.0,338.5,8.5,169.2,67.7,260.92,72977.0,126230.0,1,0,11817.0,975449.0,6,125-150K
114,Mimico,17,959.8,176.7,229.7,2.9,47.1,53.0,244.87,,,2,3,33964.0,429941.0,61,
115,Morningside,135,1048.4,45.8,97.4,5.7,114.6,22.9,222.47,54746.0,67038.0,0,0,17455.0,289646.0,3,50-75K
116,Moss Park,73,3106.4,229.2,1141.1,14.6,668.1,121.9,880.22,41295.0,66080.0,3,4,20506.0,457524.0,54,50-75K
117,Little Portugal,84,572.0,77.1,372.8,0.0,64.3,57.8,190.67,59886.0,73283.0,2,0,15559.0,514960.0,10,50-75K
118,Woodbine Corridor,64,781.4,71.8,263.1,0.0,87.7,23.9,204.65,72937.0,88615.0,0,0,12541.0,521549.0,11,75-100K
119,Newtonbrook East,50,410.0,167.7,329.3,0.0,74.5,49.7,171.87,61490.0,85842.0,1,0,16097.0,626626.0,14,75-100K
120,Milliken,130,372.6,312.4,496.8,3.8,124.2,82.8,232.1,60262.0,74319.0,1,3,26572.0,387879.0,13,50-75K
121,Pleasant View,46,278.2,151.7,75.9,0.0,94.8,25.3,104.32,65197.0,75839.0,0,1,15818.0,463859.0,8,75-100K
122,Wychwood,94,515.7,48.8,327.5,7.0,62.7,0.0,160.28,55941.0,84199.0,1,0,14349.0,656868.0,9,75-100K
123,Leaside-Bennington,56,184.2,190.2,261.5,0.0,11.9,41.6,114.9,102666.0,171367.0,3,0,16828.0,1071823.0,15,150-175K
124,Briar Hill-Belgravia,108,547.1,133.3,357.7,0.0,189.4,49.1,212.77,53990.0,65688.0,1,0,14257.0,373937.0,14,50-75K
125,Yonge-St.Clair,97,295.3,47.9,223.5,0.0,31.9,47.9,107.75,71728.0,153993.0,1,0,12528.0,995616.0,3,150-175K
126,York University Heights,27,1340.9,521.9,391.4,0.0,286.3,101.5,440.33,45534.0,55531.0,3,1,27593.0,359372.0,22,50-75K
127,Lansing-Westgate,38,445.4,198.0,241.3,0.0,68.1,68.1,170.15,70571.0,111214.0,0,1,16164.0,646460.0,8,100-125K
128,Yorkdale-Glen Park,31,1411.8,412.1,567.4,6.8,283.7,195.9,479.62,54093.0,72429.0,3,2,14804.0,421045.0,5,50-75K
129,Stonegate-Queensway,16,327.3,135.7,255.5,0.0,87.8,16.0,137.05,78238.0,104117.0,3,2,25051.0,690949.0,8,100-125K
130,Tam O'Shanter-Sullivan,118,389.9,91.1,244.1,7.3,109.3,10.9,142.1,49720.0,65993.0,1,2,27446.0,411143.0,12,50-75K
131,The Beaches,63,375.6,92.7,264.3,0.0,74.2,41.7,141.42,85028.0,145586.0,4,2,21567.0,751945.0,6,125-150K
132,Thistletown-Beaumond Heights,3,714.3,482.6,125.5,0.0,67.6,29.0,236.5,62042.0,73512.0,0,2,10360.0,414216.0,2,50-75K
133,Thorncliffe Park,55,544.8,61.6,127.9,0.0,61.6,23.7,136.6,40795.0,51739.0,3,1,21108.0,313618.0,4,50-75K
134,Danforth East York,59,483.1,52.4,139.7,0.0,34.9,40.7,125.13,70739.0,84265.0,0,0,17180.0,518568.0,0,75-100K
135,Humewood-Cedarvale,106,320.2,111.4,181.0,0.0,69.6,27.8,118.33,57140.0,92623.0,0,0,14365.0,800442.0,8,75-100K
136,Islington-City Centre West,14,504.9,391.2,282.0,2.3,79.6,84.2,224.03,66537.0,89289.0,8,7,43965.0,491678.0,45,75-100K
137,Danforth,66,786.3,72.4,413.8,0.0,186.2,41.4,250.02,69640.0,85379.0,1,0,9666.0,585093.0,6,75-100K
138,Rustic,28,593.5,372.2,140.8,10.1,30.2,10.1,192.82,43976.0,56844.0,0,1,9941.0,493442.0,0,50-75K
139,Scarborough Village,139,1046.4,107.6,239.2,0.0,167.4,12.0,262.1,42131.0,62141.0,1,0,16724.0,356096.0,11,50-75K
